"ID","X.SampleID","sample","City","Treatment","Dilution","Packaging","Lean","Blinded_Store","Raw_paired_reads","QC_filtered_reads","taxa_reads","filtered_taxa_reads","microbiome_raw_mapped_reads","microbiome_CSS_counts","microbiome_domain_Richness","microbiome_domain_Shannon","microbiome_phylum_Richness","microbiome_phylum_Shannon","microbiome_class_Richness","microbiome_class_Shannon","microbiome_order_Richness","microbiome_order_Shannon","microbiome_family_Richness","microbiome_family_Shannon","microbiome_genus_Richness","microbiome_genus_Shannon","microbiome_species_Richness","microbiome_species_Shannon","Level","Value"
"1","FC_112","FC_112","Sample 1","Fort Collins","RWA",NA,"Vacuum",90,"Store6",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,79,1.55815484178708,124,1.83484375612568,156,2.40596713918988,194,2.10881116924378,215,1.98467248204363,"Domain",1.00828794377663
"2","FC_112","FC_112","Sample 1","Fort Collins","RWA",NA,"Vacuum",90,"Store6",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,79,1.55815484178708,124,1.83484375612568,156,2.40596713918988,194,2.10881116924378,215,1.98467248204363,"Phylum",2.08206269863497
"3","FC_112","FC_112","Sample 1","Fort Collins","RWA",NA,"Vacuum",90,"Store6",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,79,1.55815484178708,124,1.83484375612568,156,2.40596713918988,194,2.10881116924378,215,1.98467248204363,"Class",2.20405676569743
"4","FC_112","FC_112","Sample 1","Fort Collins","RWA",NA,"Vacuum",90,"Store6",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,79,1.55815484178708,124,1.83484375612568,156,2.40596713918988,194,2.10881116924378,215,1.98467248204363,"Order",2.30407536745703
"5","FC_112","FC_112","Sample 1","Fort Collins","RWA",NA,"Vacuum",90,"Store6",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,79,1.55815484178708,124,1.83484375612568,156,2.40596713918988,194,2.10881116924378,215,1.98467248204363,"Family",4.4797359747345
"6","FC_112","FC_112","Sample 1","Fort Collins","RWA",NA,"Vacuum",90,"Store6",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,79,1.55815484178708,124,1.83484375612568,156,2.40596713918988,194,2.10881116924378,215,1.98467248204363,"Genus",4.13414554438594
"7","FC_112","FC_112","Sample 1","Fort Collins","RWA",NA,"Vacuum",90,"Store6",206239,191802,46543,46355,161683,25782.6502950088,3,0.026000116720284,28,1.1792983233157,79,1.55815484178708,124,1.83484375612568,156,2.40596713918988,194,2.10881116924378,215,1.98467248204363,"Species",3.88933524906655
"8","FC_113","FC_113","Sample 2","Fort Collins","RWA",NA,"Vacuum",90,"Store2",202019,188456,45206,45039,168405,29954.6424759873,3,0.0454702108665021,26,1.22531425302833,73,1.58817695920297,104,1.83743027959373,137,2.40924541884371,159,2.14347983656301,184,2.05199726542785,"Domain",1.01543616145637
"9","FC_113","FC_113","Sample 2","Fort Collins","RWA",NA,"Vacuum",90,"Store2",202019,188456,45206,45039,168405,29954.6424759873,3,0.0454702108665021,26,1.22531425302833,73,1.58817695920297,104,1.83743027959373,137,2.40924541884371,159,2.14347983656301,184,2.05199726542785,"Phylum",2.23619800382251
"10","FC_113","FC_113","Sample 2","Fort Collins","RWA",NA,"Vacuum",90,"Store2",202019,188456,45206,45039,168405,29954.6424759873,3,0.0454702108665021,26,1.22531425302833,73,1.58817695920297,104,1.83743027959373,137,2.40924541884371,159,2.14347983656301,184,2.05199726542785,"Class",2.38000649106143
"11","FC_113","FC_113","Sample 2","Fort Collins","RWA",NA,"Vacuum",90,"Store2",202019,188456,45206,45039,168405,29954.6424759873,3,0.0454702108665021,26,1.22531425302833,73,1.58817695920297,104,1.83743027959373,137,2.40924541884371,159,2.14347983656301,184,2.05199726542785,"Order",2.4751889164959
