"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"19","FC.122A1in2_concatenated","FC_122","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store4","Sprouts",59222209,57116177,146919,16361,9708,12514,12514,219543.859649123,9,0.0624124536368027,14,0.0716643505368754,"Group",2.78722019658994
"20","FC.122A1in2_concatenated","FC_122","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store4","Sprouts",59222209,57116177,146919,16361,9708,12514,12514,219543.859649123,9,0.0624124536368027,14,0.0716643505368754,"Gene",15.6362998113338
"21","FC.122A_concatenated","FC_122","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store4","Sprouts",42523674,41038940,98088,32208,14459,19089,19088,272685.714285715,8,0.094318020320558,17,0.114065020685015,"Class",1.93466177548038
"22","FC.122A_concatenated","FC_122","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store4","Sprouts",42523674,41038940,98088,32208,14459,19089,19088,272685.714285715,8,0.094318020320558,17,0.114065020685015,"Mechanism",2.135472715874
"23","FC.122A_concatenated","FC_122","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store4","Sprouts",42523674,41038940,98088,32208,14459,19089,19088,272685.714285715,8,0.094318020320558,17,0.114065020685015,"Group",3.23181900278629
"24","FC.122A_concatenated","FC_122","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store4","Sprouts",42523674,41038940,98088,32208,14459,19089,19088,272685.714285715,8,0.094318020320558,17,0.114065020685015,"Gene",15.5667323550072
"25","FC.123A1in2_concatenated","FC_123","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Class",8.277271405795
"26","FC.123A1in2_concatenated","FC_123","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Mechanism",11.9579714909309
"27","FC.123A1in2_concatenated","FC_123","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Group",14.9381170054266
"28","FC.123A1in2_concatenated","FC_123","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",19036211,18357780,8595,8,6,271,271,4169.23076923078,9,1.66776167624893,14,1.99751184920938,"Gene",42.2410961010008
"29","FC.123A_concatenated","FC_123","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",37062617,35657217,20149,0,0,80,79,3038.46153846155,6,1.50775732175294,9,1.81835487929403,"Class",6
"30","FC.123A_concatenated","FC_123","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",37062617,35657217,20149,0,0,80,79,3038.46153846155,6,1.50775732175294,9,1.81835487929403,"Mechanism",9
"31","FC.123A_concatenated","FC_123","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",90,"Store4","Sprouts",37062617,35657217,20149,0,0,80,79,3038.46153846155,6,1.50775732175294,9,1.81835487929403,"Group",16
